Model,Accuracy,Precision,Recall,F1
Random Forest,0.09541431214682203,0.06237128567225655,0.0633844927247359,0.0628738075231081
Decision Tree,0.13622043306495973,0.09048330842052815,0.09049232609128961,0.09048781703124222
XGBoost,0.09348902335350302,0.06572448100687303,0.06210550793967178,0.063863766407898
